Date;AUD;CAD;EUR;JPY;NZD;NOK;SWK;SWF;GBP
1999-06;0,64;0,17;1,06;0,88;1,15;-1,68;1,10;1,09;-0,63
1999-07;0,76;0,12;1,45;1,03;1,30;-1,25;1,56;1,43;-0,47
1999-08;0,96;0,43;1,71;1,24;1,66;-0,91;1,93;1,64;-0,21
1999-09;0,97;0,52;1,94;1,16;1,75;-0,24;2,02;1,72;-0,26
1999-10;0,97;0,64;1,73;0,92;1,60;-0,25;2,06;1,75;-0,25
1999-11;1,61;0,95;1,98;1,64;2,24;0,43;2,31;2,10;0,26
1999-12;0,96;0,68;1,53;1,16;1,44;-0,23;1,69;1,58;-0,47
2000-01;1,09;0,65;1,46;0,83;1,29;-0,20;1,49;0,94;-1,06
2000-02;0,80;0,65;1,46;1,07;1,02;-0,10;1,40;1,07;-1,12
2000-03;0,73;0,59;1,51;1,59;0,86;0,11;1,49;1,45;-0,81
2000-04;0,56;0,76;1,59;1,96;0,79;0,06;1,70;1,28;-0,56
2000-05;0,59;0,55;1,34;1,84;0,67;0,16;1,67;1,62;-0,51
2000-06;0,60;0,60;1,31;2,05;0,72;0,06;1,75;1,31;-0,32
2000-07;0,62;0,65;1,43;2,14;0,62;0,09;1,87;1,34;-0,28
2000-08;0,69;0,78;1,27;2,15;0,89;-0,05;2,19;1,38;0,06
2000-09;0,53;0,77;1,29;2,33;0,97;-0,09;2,14;1,49;0,10
2000-10;0,71;0,80;1,14;2,36;1,00;-0,11;2,26;1,59;0,04
2000-11;0,85;1,00;1,21;2,13;1,06;-0,11;2,21;1,40;0,20
2000-12;0,66;0,97;1,36;2,39;0,87;-0,19;2,12;1,51;0,38
2001-01;-0,07;0,33;0,42;1,50;-0,09;-0,99;1,20;0,45;-0,64
2001-02;-0,13;0,36;0,08;1,14;-0,38;-1,22;0,87;0,17;-0,79
2001-03;0,19;0,57;0,17;1,23;-0,17;-1,16;0,86;0,15;-0,80
2001-04;-0,01;0,18;-0,70;0,53;-0,50;-2,07;0,12;-0,36;-1,18
2001-05;-0,35;-0,04;-0,85;-0,15;-0,51;-2,06;-0,17;-1,06;-1,52
2001-06;-0,50;-0,21;-0,95;-0,34;-0,58;-2,20;-0,37;-1,32;-1,45
2001-07;-0,40;0,07;-0,98;-0,25;-0,55;-2,03;-0,42;-1,39;-1,54
2001-08;-0,43;0,10;-0,88;-0,11;-0,63;-2,06;-0,58;-1,41;-1,29
2001-09;-0,92;-0,23;-1,02;-0,81;-0,91;-2,87;-0,71;-1,04;-1,81
